city_code;da_name;da_population;da_surface_ha;dvf_nbtrans_residential;dvf_pxm2_median_residential;dvf_surface_median_residential;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain
01068;Cerdon;747;1209.81;14;1263;96;12;1325;5;1226;99;66;4;166;909
01069;Certines;1531;1602.12;28;2336;85;19;2606;10;1931;93;72;17;875;222
01071;Cessy;5832;640.24;148;4941;91;73;5469;75;4643;127;67;10;695;558
01072;Ceyzériat;3328;922.86;85;2505;99;74;2525;11;2417;106;85;18;719;337
01073;Ceyzérieu;1064;1985.6;34;2165;90;33;2018;1;10556;90;90;5;302;149
01074;Chalamont;2533;3299.24;67;2321;87;44;2489;23;1926;105;71;10;249;458
01075;Chaleins;1505;1709.37;33;2830;94;26;2873;7;2324;113;64;9;689;321
01076;Chaley;129;463.59;6;1543;64;5;1625;1;702;70;57;0;;
01077;Challes-la-Montagne;184;776.42;9;1609;87;9;1609;0;;87;;0;;
01078;Challex;1632;871.43;40;4600;107;24;4547;16;4703;122;81;6;875;220
01079;Champagne-en-Valromey;831;1833.17;16;1737;100;15;1778;4;1321;105;71;2;194;2149
01080;Champdor-Corcelles;665;3148.7;11;1667;100;11;1667;1;1714;100;70;4;27;1040
01081;Champfromier;725;3192.15;14;2248;101;11;2421;10;1977;100;91;0;;
01082;Chanay;574;1839.96;21;2325;98;17;2738;5;2168;100;92;2;994;499
01083;Chaneins;1046;1272.92;33;2677;113;32;2694;3;2224;114;60;28;158;630
01084;Chanoz-Châtenay;989;1336.06;22;2320;111;22;2320;2;1642;111;78;7;90;855
01085;La Chapelle-du-Châtelard;388;1368.93;9;2407;104;9;2407;0;;104;;1;138;532
01087;Charix;280;1861.16;12;2019;103;12;2019;0;;103;;1;111;471
01088;Charnoz-sur-Ain;951;659.99;22;3229;101;21;3222;17;3171;105;50;15;250;542
01089;Château-Gaillard;2443;1606.78;50;2477;90;46;2477;7;4375;92;80;21;205;479
01090;Châtenay;373;1521.67;11;2072;100;11;2072;0;;100;;10;145;503
01092;Châtillon-la-Palud;1698;1409.8;47;2697;93;41;2700;6;2081;95;59;15;205;455
01093;Châtillon-sur-Chalaronne;5250;1808.06;149;2700;85;76;3079;73;2366;104;71;21;217;555
01094;Chavannes-sur-Reyssouze;726;1650.7;24;1756;99;23;1745;2;10227;106;51;3;19;1065
01095;Nivigne et Suran;820;3121.42;19;1645;87;17;1686;4;1176;86;120;10;93;473
01096;Chaveyriat;1078;1678.48;17;2595;94;15;2700;4;1761;93;94;8;122;590
01098;Chazey-Bons;1142;1557;33;2305;90;30;2368;8;1489;92;86;15;127;636
01099;Chazey-sur-Ain;1632;2208;38;2894;106;34;2847;5;3468;108;74;6;229;584
01100;Cheignieu-la-Balme;131;596.09;11;2188;83;10;2120;1;2188;86;40;0;;
01101;Chevillard;149;663.5;5;1725;122;5;1725;0;;122;;0;;
01102;Chevroux;990;1720.39;21;1955;95;20;1909;1;4111;95;36;25;69;853
01103;Chevry;2372;582.26;74;4989;94;39;5153;35;4767;124;64;15;529;679
01104;Chézery-Forens;433;4660.9;20;2293;80;12;2686;8;1548;83;52;3;50;1049
01105;Civrieux;2016;2017.17;38;3436;100;32;3520;6;3194;106;62;13;483;408
01106;Cize;168;454.64;6;2175;91;6;2175;0;;91;;0;;
