Code_insee;Departement;Commune;Classement FRR et FRR+ au 10 juillet 2025;
01199;01;Jujurieux;Non classée;
01200;01;Labalme;Non classée;
01202;01;Lagnieu;Non classée;
01203;01;Laiz;Non classée;
01204;01;Le Poizat-Lalleyriat;Non classée;
01206;01;Lantenay;FRR bénéficiaire;
01207;01;Lapeyrouse;Non classée;
01208;01;Lavours;Non classée;
01209;01;Léaz;Non classée;
01210;01;Lélex;Non classée;
01211;01;Lent;Non classée;
01212;01;Lescheroux;FRR bénéficiaire;
01213;01;Leyment;Non classée;
01214;01;Leyssard;Non classée;
01215;01;Surjoux-Lhopital;Non classée;
01216;01;Lhuis;Non classée;
01219;01;Lompnas;Non classée;
01224;01;Loyettes;Non classée;
01225;01;Lurcy;Non classée;
01227;01;Magnieu;Non classée;
01228;01;Maillat;Non classée;
01229;01;Malafretaz;Non classée;
01230;01;Mantenay-Montlin;FRR bénéficiaire;
01231;01;Manziat;Non classée;
01232;01;Marboz;Non classée;
01233;01;Marchamp;Non classée;
01234;01;Marignieu;Non classée;
01235;01;Marlieux;Non classée;
01236;01;Marsonnas;Non classée;
01237;01;Martignat;Non classée;
01238;01;Massieux;Non classée;
01239;01;Massignieu-de-Rives;Non classée;
01240;01;Matafelon-Granges;Non classée;
01241;01;Meillonnas;Non classée;
01242;01;Mérignat;Non classée;
01243;01;Messimy-sur-Saône;Non classée;
01244;01;Meximieux;Non classée;
01245;01;Bohas-Meyriat-Rignat;Non classée;
01246;01;Mézériat;Non classée;
01247;01;Mijoux;Non classée;
01248;01;Mionnay;Non classée;
01249;01;Miribel;Non classée;
01250;01;Misérieux;Non classée;
01252;01;Mogneneins;Non classée;
01254;01;Montagnat;Non classée;
01255;01;Montagnieu;Non classée;
01257;01;Montanges;Non classée;
01258;01;Montceaux;Non classée;
01259;01;Montcet;Non classée;
01260;01;Le Montellier;Non classée;
01261;01;Monthieux;Non classée;
01262;01;Montluel;Non classée;
01263;01;Montmerle-sur-Saône;Non classée;
01264;01;Montracol;Non classée;
01265;01;Montréal-la-Cluse;Non classée;
01266;01;Montrevel-en-Bresse;Non classée;
01267;01;Nurieux-Volognat;Non classée;
01268;01;Murs-et-Gélignieux;Non classée;
01269;01;Nantua;Non classée;
01272;01;Neuville-les-Dames;Non classée;
01273;01;Neuville-sur-Ain;Non classée;
01274;01;Les Neyrolles;Non classée;
01275;01;Neyron;Non classée;
01276;01;Niévroz;Non classée;
01277;01;Nivollet-Montgriffon;Non classée;
01279;01;Oncieu;Non classée;
01280;01;Ordonnaz;Non classée;
01281;01;Ornex;Non classée;
01282;01;Outriaz;FRR bénéficiaire;
01283;01;Oyonnax;Non classée;
01284;01;Ozan;Non classée;
01285;01;Parcieux;Non classée;
01286;01;Parves et Nattages;Non classée;
01288;01;Péron;Non classée;
01289;01;Péronnas;Non classée;
01290;01;Pérouges;Non classée;
01291;01;Perrex;Non classée;
01293;01;Peyriat;Non classée;
01294;01;Peyrieu;Non classée;
01295;01;Peyzieux-sur-Saône;Non classée;
01296;01;Pirajoux;Non classée;
01297;01;Pizay;Non classée;
01298;01;Plagne;Non classée;
