city_code;da_name;da_population;da_surface_ha;dvf_nbtrans;dvf_pxm2_median;dvf_surface_median;dvf_nbtrans_cod111;dvf_pxm2_median_cod111;dvf_nbtrans_cod121;dvf_pxm2_median_cod121;dvf_surface_median_cod111;dvf_surface_median_cod121;dvf_nbtrans_terrain;dvf_pxm2_median_terrain;dvf_surface_median_terrain;anct_part_actifs_transports_en_commun_2022;anct_taux_annuel_evol_population_2016_2022
01041;Bettant;774;343.27;37;2216;90;34;2158;5;2039;92;77;12;113;136;12.9;0.26
01042;Bey;286;277.57;8;2924;95;8;2924;0;;95;;7;52;1643;4.1;0.83
01043;Beynost;5198;1068.97;179;3730;96;135;3918;44;3062;106;70;53;273;610;12.2;1.34
01044;Billiat;713;1404.11;20;2717;102;18;2777;6;1609;102;69;7;178;780;7.9;1.52
01045;Birieux;275;1577.34;9;1955;110;5;2281;5;1955;101;110;7;46;576;5.5;-0.29
01046;Biziat;889;1158.05;31;2067;129;31;2067;0;;129;;9;37;2400;2;0.76
01047;Blyes;1401;942.45;38;3026;104;36;3084;3;2568;104;74;19;268;447;4.9;5.27
01049;La Boisse;3449;942.46;101;3250;94;79;3332;22;2979;100;72;24;415;415;8.8;1.99
01050;Boissey;396;945.41;17;1773;106;17;1773;1;3520;106;25;8;28;1761;1.1;2.41
01051;Bolozon;103;497.27;5;1292;71;5;1292;0;;71;;7;3;820;2.4;1.79
01052;Bouligneux;318;2623.93;8;2521;109;8;2521;0;;109;;2;107;802;5.8;0.21
01053;Bourg-en-Bresse;42372;2403.23;1839;2000;70;356;2290;1483;1940;98;66;78;182;502;9.1;0.28
01054;Bourg-Saint-Christophe;1562;899.82;48;2999;109;47;3064;1;1500;109;160;12;263;346;8.7;2.54
01056;Boyeux-Saint-Jérôme;367;1671.47;11;1587;75;11;1587;0;;75;;16;8;268;1.8;0.37
01057;Boz;513;769.11;21;2222;100;21;2222;0;;100;;10;16;1380;0.4;-0.2
01058;Brégnier-Cordon;804;1125.73;32;1850;95;29;1989;7;1429;96;45;13;109;786;0.8;-0.74
01060;Brénod;576;2402.27;16;1072;97;21;1105;6;1686;98;71;6;2;1129;0.7;0.78
01061;Brens;1123;688.48;35;2292;115;33;2158;6;1896;116;69;22;50;855;1.9;-0.76
01062;Bressolles;1028;765.56;21;3447;110;20;3414;3;3312;111;75;12;265;470;8.4;1.99
01063;Brion;592;448.64;14;1770;136;13;1786;3;2190;136;56;8;20;1787;2;2.32
01064;Briord;1119;1231.56;45;2249;95;43;2143;4;2228;96;58;21;99;651;2;1.79
01065;Buellas;1899;1024.78;57;2471;112;53;2471;5;2660;116;66;11;91;866;1.9;1.07
01066;La Burbanche;98;1101.52;8;1408;93;8;1408;0;;93;;5;3;265;0;5.34
01067;Ceignes;257;1016.7;6;2052;118;5;1782;1;4485;126;33;9;25;1477;2.1;0.65
01068;Cerdon;747;1209.81;21;1226;92;19;1300;5;1226;92;66;18;14;555;2;-0.65
01069;Certines;1531;1602.12;33;2327;89;23;2464;10;1904;94;73;10;129;663;2.5;-0.15
01071;Cessy;5832;640.24;213;5100;88;94;5470;119;4831;127;70;32;289;721;6.1;2.38
01072;Ceyzériat;3328;922.86;113;2477;97;98;2460;15;3043;103;70;45;7;760;2.9;0.87
